,date,R_eff
0,2020-02-14,0.8037879939622554
1,2020-02-15,0.8037880034253357
2,2020-02-16,0.8037880249408355
3,2020-02-17,0.8037880738731924
4,2020-02-18,0.8037881852006894
5,2020-02-19,0.8037884386145578
6,2020-02-20,0.8043608271531997
7,2020-02-21,0.8048094160363011
8,2020-02-22,0.8050695195787645
9,2020-02-23,0.8060751862251145
10,2020-02-24,0.8122604360013379
11,2020-02-25,0.8217824969047118
12,2020-02-26,0.8392909573237097
13,2020-02-27,0.8629866489887148
14,2020-02-28,0.8958746227749326
15,2020-02-29,0.9387295741067512
16,2020-03-01,0.9851523757985068
17,2020-03-02,1.0478746164855224
18,2020-03-03,1.1198045429591839
19,2020-03-04,1.222150206989446
20,2020-03-05,1.3202091779596568
21,2020-03-06,1.458016137348801
22,2020-03-07,1.6476503025536138
23,2020-03-08,1.8230436871726183
24,2020-03-09,2.0842372026719183
25,2020-03-10,2.331469412232636
26,2020-03-11,2.5247002787248527
27,2020-03-12,2.6271172505603104
28,2020-03-13,2.7019177379613932
29,2020-03-14,2.7769439372127867
30,2020-03-15,2.803871092234954
31,2020-03-16,2.8103250513672773
32,2020-03-17,2.778704848306485
33,2020-03-18,2.7142214797496473
34,2020-03-19,2.6523294311994494
35,2020-03-20,2.5369435695372187
36,2020-03-21,2.3888890989871796
37,2020-03-22,2.243079589044324
38,2020-03-23,2.0668663676182755
39,2020-03-24,1.9230095224353012
40,2020-03-25,1.7900878265097337
41,2020-03-26,1.6859931871481342
42,2020-03-27,1.6081375141978618
43,2020-03-28,1.5581407095819908
44,2020-03-29,1.487600596142276
45,2020-03-30,1.4222020861040083
46,2020-03-31,1.3315282690553185
47,2020-04-01,1.2530022665952543
48,2020-04-02,1.1510498038315675
49,2020-04-03,1.0923307611625013
50,2020-04-04,1.0406431071149589
51,2020-04-05,1.0007241007147114
52,2020-04-06,0.9599314637435168
53,2020-04-07,0.9172210723411889
54,2020-04-08,0.8719149604868943
55,2020-04-09,0.8356554975889259
56,2020-04-10,0.8044092520094953
57,2020-04-11,0.7874089687242884
58,2020-04-12,0.7699017104583674
59,2020-04-13,0.7599998983371526
60,2020-04-14,0.7532727683927709
61,2020-04-15,0.7504510152567303
62,2020-04-16,0.7554244344873358
63,2020-04-17,0.7628989713147709
64,2020-04-18,0.7776011434520234
65,2020-04-19,0.794472167143726
66,2020-04-20,0.8060741532960372
67,2020-04-21,0.8235706472747981
68,2020-04-22,0.8427542701891337
69,2020-04-23,0.8487211868230858
70,2020-04-24,0.8527578799376012
71,2020-04-25,0.8507079101542592
72,2020-04-26,0.8353776196329323
73,2020-04-27,0.8105888800143874
74,2020-04-28,0.7880426935381885
75,2020-04-29,0.7663545041021329
76,2020-04-30,0.751419380180065
77,2020-05-01,0.7344293377905644
78,2020-05-02,0.7273644965332726
79,2020-05-03,0.7200453978311089
80,2020-05-04,0.7222704831790191
81,2020-05-05,0.7339751443301998
82,2020-05-06,0.7479707170205998
83,2020-05-07,0.7727251594899197
84,2020-05-08,0.813557163077393
85,2020-05-09,0.8498330684536779
86,2020-05-10,0.8959173613948206
87,2020-05-11,0.9197835040834648
88,2020-05-12,0.9413795522718575
89,2020-05-13,0.9502859896897682
90,2020-05-14,0.9492669989473799
91,2020-05-15,0.9316998665110776
92,2020-05-16,0.9134557832522954
93,2020-05-17,0.8881993812976126
94,2020-05-18,0.8653166524488574
95,2020-05-19,0.8403244212982108
96,2020-05-20,0.8198097885016292
97,2020-05-21,0.8020076064869943
98,2020-05-22,0.7837433431198171
99,2020-05-23,0.7753419008567859
100,2020-05-24,0.7686198593756145
101,2020-05-25,0.7706421369534899
102,2020-05-26,0.766763633491478
103,2020-05-27,0.770545865931834
104,2020-05-28,0.7768853969002512
105,2020-05-29,0.7834402385646815
106,2020-05-30,0.8034731513838365
107,2020-05-31,0.828410214044004
